Sort,Species,Date,Location,Notes
404,American Redstart,4/4/1988,"Patapsco Valley State Park",""
405,Cape May Warbler,5/6/1990,"Assateague Island, MD",""
406,Cerulean Warbler,5/3/1990,"Spring Gap, C & O Canal",""
407,Northern Parula,4/21/1989,"Savage, MD",""
408,Tropical Parula,12/29/1994,"Bentsen Rio State Park",""
409,Magnolia Warbler,10/12/1992,"Patapsco Valley State Park",""
410,Bay-breasted Warbler,5/10/1989,"Savage, MD",""
411,Blackburnian Warbler,5/6/1990,"Cylburn Arboretum, Baltimore, MD",""
412,Yellow Warbler,5/3/1990,"West Exeter, NY",""
413,Chestnut-sided Warbler,5/21/1991,"Savage, MD",""
414,Blackpoll Warbler,5/18/1991,"Patapsco Valley State Park",""
415,Black-throated Blue Warbler,4/13/1988,"Patapsco Valley State Park",""
416,Palm Warbler,5/15/1990,"Assateague NWR",""
417,Pine Warbler,5/15/1993,"Assateague NWR",""
418,Yellow-rumped Warbler,5/6/1990,"Patapsco Valley State Park",""
419,Audubon's Warbler,4/21/2019,"Las Cienegas National Conservation Area, AZ",""
420,Yellow-throated Warbler,5/13/1992,"Patapsco Valley State Park",""
421,Prairie Warbler,5/15/1988,"Coast Guard Beach, Eastham, MA",""
422,Black-throated Gray Warbler,4/19/2019,"Mount Lemmon, Tucson, AZ",""
423,Black-throated Green Warbler,4/13/1988,"Patapsco Valley State Park",""
424,Canada Warbler,5/6/1990,"Patapsco Valley State Park",""
425,Wilson's Warbler,10/2/1994,"Waterview West",""
426,Red-faced Warbler,4/19/2019,"Mount Lemmon, Tucson, AZ",""
427,Hepatic Tanager,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ",""
428,Summer Tanager,10/12/1992,"Chincoteague NWR, Pony Trail",""
429,Scarlet Tanager,5/1/1989,"Savage, MD",""
430,Northern Cardinal,5/18/1988,"Savage, MD",""
431,Pyrrhuloxia,12/30/1994,"Santa Margarita Ranch, Santa Margarita, CA",""
432,Rose-breasted Grosbeak,5/2/1989,"2617 Guilford Ave, Baltimore, MD",""
433,Black-headed Grosbeak,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ",""
434,Blue Grosbeak,6/3/1990,"Bombay Hook NWR",""
435,Lazuli Bunting,4/19/2019,"Karen's Patio, Tucson, AZ",""
436,Indigo Bunting,7/14/1988,"Patapsco Valley State Park",""
437,Painted Bunting,12/19/1993,"Evergreen Nursery, Blue Ball Road, Blue Ball, PA",""
438,Dickcissel,6/13/1993,"Oland Rd, Buckeystown, MD",""
